fold,ind,subject_id,ve_loso_cv,ve_ten_fold_cv
1,1,P_4001,97.1984818313599,99.5050363828211
1,2,P_4002,93.3017234485676,99.5050363828211
1,3,P_4003,94.5368815521937,99.5050363828211
1,4,P_4004,96.1986003127886,99.5050363828211
1,5,P_4005,96.4550353709451,99.5050363828211
1,6,P_4006,93.2784921233196,99.5050363828211
1,7,P_4007,95.7395849075034,99.5050363828211
1,8,P_4008,98.5483691682205,99.5050363828211
1,9,P_4010,90.2438430018847,99.5050363828211
1,10,P_4011,94.7596724538867,99.5050363828211
1,11,P_4014,93.0561317465823,99.5050363828211
1,12,P_4015,97.3989299338606,99.5050363828211
1,13,P_4016,98.3995489530799,99.5050363828211
1,14,P_4017,97.5593608359002,99.5050363828211
1,15,P_4018,96.1935672303283,99.5050363828211
1,16,P_4019,88.2502109210273,99.5050363828211
1,17,P_4020,97.6031734059968,99.5050363828211
1,18,P_4021,94.285209251338,99.5050363828211
1,19,P_4023,96.9167061523867,99.5050363828211
1,20,P_4024,98.5468458165908,99.5050363828211
1,21,P_4026,93.5127166401524,99.5050363828211
1,22,P_4027,96.3234328900054,99.5050363828211
1,23,P_4028,98.8674530852773,99.5050363828211
1,24,P_4029,96.1726630148952,99.5050363828211
1,25,P_4030,91.8502941918033,99.5050363828211
1,26,P_4031,98.6118486675065,99.5050363828211
1,27,P_4032,96.3054353763172,99.5050363828211
1,28,P_4033,98.5492412921043,99.5050363828211
1,29,P_4034,97.3448832463048,99.5050363828211
2,30,P_4035,96.5435443558765,99.4451378480021
2,31,P_4037,92.4384446999231,99.4451378480021
2,32,P_4038,95.9871322237292,99.4451378480021
2,33,P_4039,94.6563126805226,99.4451378480021
2,34,P_4040,93.6332191487354,99.4451378480021
2,35,P_4041,96.6029042696227,99.4451378480021
2,36,P_4042,96.9292438960087,99.4451378480021
2,37,P_4043,96.22760759566,99.4451378480021
2,38,P_4044,99.1744852434269,99.4451378480021
2,39,P_4045,95.2077905110065,99.4451378480021
2,40,P_4046,97.0924873671032,99.4451378480021
2,41,P_4047,92.9438685666026,99.4451378480021
2,42,P_4048,97.0812471273382,99.4451378480021
2,43,P_4049,96.4538500187275,99.4451378480021
2,44,P_4050,87.7250017354692,99.4451378480021
2,45,P_4051,90.9050390970528,99.4451378480021
2,46,P_4053,96.1762151777897,99.4451378480021
2,47,P_4054,97.3328728975975,99.4451378480021
2,48,P_4055,95.7352097036111,99.4451378480021
2,49,P_4056,96.6609024733697,99.4451378480021
2,50,P_4057,96.118547848705,99.4451378480021
2,51,P_4058,96.257680039617,99.4451378480021
2,52,P_4059,96.4633245904842,99.4451378480021
2,53,P_4061,96.6448737370639,99.4451378480021
2,54,P_4062,89.9937835485411,99.4451378480021
2,55,P_4063,98.0971826895452,99.4451378480021
2,56,P_4064,96.3990204279666,99.4451378480021
2,57,P_4065,97.1529488787094,99.4451378480021
3,58,P_4067,87.5535749801026,99.4228744087696
3,59,P_4068,97.9006465241483,99.4228744087696
3,60,P_4069,97.1085374426791,99.4228744087696
3,61,P_4070,95.0464239019433,99.4228744087696
3,62,P_4072,93.1626077285436,99.4228744087696
3,63,P_4073,92.5264091978783,99.4228744087696
3,64,P_4074,97.2292655408921,99.4228744087696
3,65,P_4075,98.0773331939007,99.4228744087696
3,66,P_4076,96.2705376248952,99.4228744087696
3,67,P_4077,97.3664071260818,99.4228744087696
3,68,P_4078,93.625532172911,99.4228744087696
3,69,P_4079,95.9032340709245,99.4228744087696
3,70,P_4080,97.4360348206493,99.4228744087696
3,71,P_4081,95.1601894792672,99.4228744087696
3,72,P_4082,96.2035716684201,99.4228744087696
3,73,P_4083,82.9664665639482,99.4228744087696
3,74,P_4084,98.1693165853286,99.4228744087696
3,75,P_4085,96.9799850192201,99.4228744087696
3,76,P_4086,97.5646093764213,99.4228744087696
3,77,P_4087,97.8962219270162,99.4228744087696
3,78,P_4088,98.1814053893011,99.4228744087696
3,79,P_4089,94.1440992017472,99.4228744087696
3,80,P_4090,95.1062124528094,99.4228744087696
3,81,P_4091,89.2435692228702,99.4228744087696
3,82,P_4093,97.8309931554829,99.4228744087696
3,83,P_4094,94.7927010988226,99.4228744087696
3,84,P_4095,95.5806993193329,99.4228744087696
3,85,P_4096,95.3474054196044,99.4228744087696
4,86,P_4097,94.7735271352463,99.3937573786757
4,87,P_4098,98.0872084090929,99.3937573786757
4,88,P_4099,97.1505450572849,99.3937573786757
4,89,P_4100,94.7301811744778,99.3937573786757
4,90,P_4101,92.4008767904632,99.3937573786757
4,91,P_4102,93.8477958602878,99.3937573786757
4,92,P_4103,98.2995378454347,99.3937573786757
4,93,P_4104,97.2496219479564,99.3937573786757
4,94,P_4105,87.8747849097071,99.3937573786757
4,95,P_4106,93.4013003022423,99.3937573786757
4,96,P_4107,95.5318056715847,99.3937573786757
4,97,P_4108,93.8984639318824,99.3937573786757
4,98,P_4109,97.4575706251547,99.3937573786757
4,99,P_4110,92.6087074206804,99.3937573786757
4,100,P_4111,95.1612673929529,99.3937573786757
4,101,P_4112,98.4026003972268,99.3937573786757
4,102,P_4113,95.4246759720825,99.3937573786757
4,103,P_4114,96.5650464713476,99.3937573786757
4,104,P_4115,96.5789110058273,99.3937573786757
4,105,P_4116,98.1201838877794,99.3937573786757
4,106,P_4117,95.5951242714519,99.3937573786757
4,107,P_4118,91.6490278104143,99.3937573786757
4,108,P_4119,94.7912024989346,99.3937573786757
4,109,P_4120,93.3376036903834,99.3937573786757
4,110,P_4121,96.2483898212827,99.3937573786757
